time,note,vol
0,43,74
58,43,0
64,50,95
122,50,0
128,59,100
186,59,0
192,57,79
250,57,0
256,59,88
314,59,0
320,50,62
378,50,0
384,59,95
442,59,0
448,50,66
506,50,0
512,43,68
570,43,0
576,50,92
634,50,0
640,59,98
698,59,0
704,57,77
762,57,0
768,59,87
826,59,0
832,50,64
890,50,0
896,59,94
954,59,0
960,50,67
1018,50,0
1024,43,65
1082,43,0
1088,52,94
1146,52,0
1152,60,96
1210,60,0
1216,59,80
1274,59,0
1280,60,87
1338,60,0
1344,52,66
1402,52,0
1408,60,93
1466,60,0
1472,52,64
1530,52,0
1536,43,62
1594,43,0
1600,52,91
1658,52,0
1664,60,97
1722,60,0
1728,59,79
1786,59,0
1792,60,86
1850,60,0
1856,52,66
1914,52,0
1920,60,95
1978,60,0
1984,52,67
2042,52,0
2048,43,61
2106,43,0
2112,54,96
2170,54,0
2176,60,95
2234,60,0
2240,59,76
2298,59,0
2304,60,86
2362,60,0
2368,54,69
2426,54,0
2432,60,89
2490,60,0
2496,54,71
2554,54,0
2560,43,60
2618,43,0
2624,54,96
2682,54,0
2688,60,94
2746,60,0
2752,59,76
2810,59,0
2816,60,88
2874,60,0
2880,54,70
2938,54,0
2944,60,91
3002,60,0
3008,54,68
3066,54,0
3072,43,62
3130,43,0
3136,55,97
3194,55,0
3200,59,90
3258,59,0
3264,57,75
3322,57,0
3328,59,87
3386,59,0
3392,55,72
3450,55,0
3456,59,89
3514,59,0
3520,55,70
3578,55,0
3584,43,61
3642,43,0
3648,55,98
3706,55,0
3712,59,90
3770,59,0
3776,57,78
3834,57,0
3840,59,89
3898,59,0
3904,55,70
3962,55,0
3968,59,85
4026,59,0
4032,54,71
4090,54,0
4096,43,63
4154,43,0
4160,52,93
4218,52,0
4224,59,96
4282,59,0
4288,57,80
4346,57,0
4352,59,89
4410,59,0
4416,55,71
4474,55,0
4480,54,75
4538,54,0
4544,55,82
4602,55,0
4608,52,76
4666,52,0
4672,55,87
4730,55,0
4736,54,75
4794,54,0
4800,55,83
4858,55,0
4864,47,67
4922,47,0
4928,50,85
4986,50,0
4992,49,77
5050,49,0
5056,47,74
5114,47,0
5120,49,86
5178,49,0
5184,55,95
5242,55,0
5248,57,86
5306,57,0
5312,55,77
5370,55,0
5376,57,88
5434,57,0
5440,55,75
5498,55,0
5504,57,84
5562,57,0
5568,55,76
5626,55,0
5632,49,69
5690,49,0
5696,55,89
5754,55,0
5760,57,85
5818,57,0
5824,55,77
5882,55,0
5888,57,86
5946,57,0
5952,55,75
6010,55,0
6016,57,84
6074,57,0
6080,55,75
6138,55,0
6144,54,80
6202,54,0
6208,57,84
6266,57,0
6272,62,89
6330,62,0
6336,61,77
6394,61,0
6400,62,85
6458,62,0
6464,57,69
6522,57,0
6528,55,73
6586,55,0
6592,57,84
6650,57,0
6656,54,74
6714,54,0
6720,57,85
6778,57,0
6784,55,76
6842,55,0
6848,57,86
6906,57,0
6912,50,71
6970,50,0
6976,54,87
7034,54,0
7040,52,76
7098,52,0
7104,50,74
7162,50,0
7168,40,62
7226,40,0
7232,47,92
7290,47,0
7296,55,97
7354,55,0
7360,54,78
7418,54,0
7424,55,87
7482,55,0
7488,47,66
7546,47,0
7552,55,95
7610,55,0
7616,47,65
7674,47,0
7680,40,64
7738,40,0
7744,47,90
7802,47,0
7808,55,97
7866,55,0
7872,54,80
7930,54,0
7936,55,87
7994,55,0
8000,47,66
8058,47,0
8064,55,91
8122,55,0
8128,47,66
8186,47,0
8192,40,64
8250,40,0
8256,49,93
8314,49,0
8320,50,84
8378,50,0
8384,52,84
8442,52,0
8448,50,77
8506,50,0
8512,49,74
8570,49,0
8576,47,76
8634,47,0
8640,45,73
8698,45,0
8704,55,102
8762,55,0
8768,54,78
8826,54,0
8832,52,73
8890,52,0
8896,62,96
8954,62,0
8960,61,81
9018,61,0
9024,59,75
9082,59,0
9088,57,74
9146,57,0
9152,55,73
9210,55,0
9216,54,79
9274,54,0
9280,52,74
9338,52,0
9344,50,75
9402,50,0
9408,62,103
9466,62,0
9472,57,77
9530,57,0
9536,62,89
9594,62,0
9600,54,65
9658,54,0
9664,57,83
9722,57,0
9728,50,69
9786,50,0
9792,52,82
9850,52,0
9856,54,84
9914,54,0
9920,57,86
9978,57,0
9984,55,78
10042,55,0
10048,54,76
10106,54,0
10112,52,73
10170,52,0
10176,50,73
10234,50,0
10240,56,93
10298,56,0
10304,50,70
10362,50,0
10368,53,85
10426,53,0
10432,50,74
10490,50,0
10496,53,88
10554,53,0
10560,50,72
10618,50,0
10624,56,93
10682,56,0
10688,50,68
10746,50,0
10752,59,97
10810,59,0
10816,50,67
10874,50,0
10880,53,82
10938,53,0
10944,50,71
11002,50,0
11008,53,88
11066,53,0
11072,50,72
11130,50,0
11136,56,90
11194,56,0
11200,50,69
11258,50,0
11264,48,74
11322,48,0
11328,52,85
11386,52,0
11392,57,92
11450,57,0
11456,59,87
11514,59,0
11520,60,87
11578,60,0
11584,57,71
11642,57,0
11648,52,67
11706,52,0
11712,50,72
11770,50,0
11776,48,77
11834,48,0
11840,52,86
11898,52,0
11904,57,93
11962,57,0
11968,59,84
12026,59,0
12032,60,89
12090,60,0
12096,57,74
12154,57,0
12160,54,72
12218,54,0
12224,52,71
12282,52,0
12288,51,79
12346,51,0
12352,54,88
12410,54,0
12416,51,73
12474,51,0
12480,54,88
12538,54,0
12544,57,91
12602,57,0
12608,54,74
12666,54,0
12672,57,87
12730,57,0
12736,54,72
12794,54,0
12800,51,76
12858,51,0
12864,54,85
12922,54,0
12928,51,74
12986,51,0
12992,54,87
13050,54,0
13056,57,91
13114,57,0
13120,54,74
13178,54,0
13184,57,87
13242,57,0
13248,54,71
13306,54,0
13312,55,88
13370,55,0
13376,54,77
13434,54,0
13440,52,76
13498,52,0
13504,55,86
13562,55,0
13568,54,80
13626,54,0
13632,55,82
13690,55,0
13696,57,84
13754,57,0
13760,54,74
13818,54,0
13824,55,84
13882,55,0
13888,54,77
13946,54,0
13952,52,76
14010,52,0
14016,50,72
14074,50,0
14080,48,76
14138,48,0
14144,47,75
14202,47,0
14208,45,74
14266,45,0
14272,43,75
14330,43,0
14336,42,78
14394,42,0
14400,48,91
14458,48,0
14464,50,84
14522,50,0
14528,48,77
14586,48,0
14592,50,87
14650,50,0
14656,48,76
14714,48,0
14720,50,86
14778,50,0
14784,48,75
14842,48,0
14848,42,71
14906,42,0
14912,48,91
14970,48,0
14976,50,85
15034,50,0
15040,48,76
15098,48,0
15104,50,88
15162,50,0
15168,48,74
15226,48,0
15232,50,86
15290,50,0
15296,48,73
15354,48,0
15360,43,71
15418,43,0
15424,47,86
15482,47,0
15488,53,91
15546,53,0
15552,52,77
15610,52,0
15616,53,84
15674,53,0
15680,47,66
15738,47,0
15744,53,88
15802,53,0
15808,47,71
15866,47,0
15872,43,71
15930,43,0
15936,47,87
15994,47,0
16000,53,91
16058,53,0
16064,52,78
16122,52,0
16128,53,87
16186,53,0
16192,47,67
16250,47,0
16256,53,90
16314,53,0
16320,47,69
16378,47,0
16384,43,71
16442,43,0
16448,48,89
16506,48,0
16512,52,92
16570,52,0
16576,50,78
16634,50,0
16640,52,88
16698,52,0
16704,48,70
16762,48,0
16768,52,88
16826,52,0
16832,48,73
16890,48,0
16896,43,71
16954,43,0
16960,48,89
17018,48,0
17024,52,90
17082,52,0
17088,50,77
17146,50,0
17152,52,87
17210,52,0
17216,48,70
17274,48,0
17280,52,86
17338,52,0
17344,48,72
17402,48,0
17408,43,72
17466,43,0
17472,54,97
17530,54,0
17536,60,93
17594,60,0
17600,59,77
17658,59,0
17664,60,84
17722,60,0
17728,54,68
17786,54,0
17792,60,89
17850,60,0
17856,54,70
17914,54,0
17920,43,60
17978,43,0
17984,54,95
18042,54,0
18048,60,95
18106,60,0
18112,59,77
18170,59,0
18176,60,86
18234,60,0
18240,54,69
18298,54,0
18304,60,88
18362,60,0
18368,54,67
18426,54,0
18432,43,59
18490,43,0
18496,50,89
18554,50,0
18560,59,99
18618,59,0
18624,57,79
18682,57,0
18688,59,89
18746,59,0
18752,55,73
18810,55,0
18816,54,74
18874,54,0
18880,52,74
18938,52,0
18944,50,76
19002,50,0
19008,48,74
19066,48,0
19072,47,75
19130,47,0
19136,45,73
19194,45,0
19200,43,76
19258,43,0
19264,42,76
19322,42,0
19328,40,73
19386,40,0
19392,38,74
19450,38,0
19456,37,79
19514,37,0
19520,45,94
19578,45,0
19584,52,94
19642,52,0
19648,54,87
19706,54,0
19712,55,90
19770,55,0
19776,52,73
19834,52,0
19840,54,83
19898,54,0
19904,55,84
19962,55,0
19968,37,61
20026,37,0
20032,45,92
20090,45,0
20096,52,95
20154,52,0
20160,54,86
20218,54,0
20224,55,87
20282,55,0
20288,52,72
20346,52,0
20352,54,85
20410,54,0
20416,55,85
20474,55,0
20480,36,61
20538,36,0
20544,45,93
20602,45,0
20608,50,92
20666,50,0
20672,52,85
20730,52,0
20736,54,89
20794,54,0
20800,50,72
20858,50,0
20864,52,83
20922,52,0
20928,54,84
20986,54,0
20992,36,62
21050,36,0
21056,45,91
21114,45,0
21120,50,91
21178,50,0
21184,52,85
21242,52,0
21248,54,90
21306,54,0
21312,50,71
21370,50,0
21376,52,81
21434,52,0
21440,54,87
21498,54,0
21504,36,61
21562,36,0
21568,45,95
21626,45,0
21632,50,91
21690,50,0
21696,54,89
21754,54,0
21760,57,91
21818,57,0
21824,61,89
21882,61,0
21888,62,85
21972,62,0
22004,62,85
22074,62,0
,62,85
,62,0
22080,45,59
22138,45,0
22144,47,80
22202,47,0
22208,48,83
22266,48,0
22272,50,87
22330,50,0
22336,52,85
22394,52,0
22400,54,87
22458,54,0
22464,55,85
22522,55,0
22528,57,86
22586,57,0
22592,54,72
22650,54,0
22656,50,71
22714,50,0
22720,52,81
22778,52,0
22784,54,89
22842,54,0
22848,55,82
22906,55,0
22912,57,84
22970,57,0
22976,59,85
23034,59,0
23040,60,85
23098,60,0
23104,57,72
23162,57,0
23168,54,72
23226,54,0
23232,55,82
23290,55,0
23296,57,88
23354,57,0
23360,59,83
23418,59,0
23424,60,86
23482,60,0
23488,62,86
23546,62,0
23552,63,88
23610,63,0
23616,62,77
23674,62,0
23680,61,77
23738,61,0
23744,62,84
23802,62,0
23808,62,81
23866,62,0
23872,60,75
23930,60,0
23936,59,77
23994,59,0
24000,60,83
24058,60,0
24064,60,85
24122,60,0
24128,57,74
24186,57,0
24192,54,70
24250,54,0
24256,52,73
24314,52,0
24320,50,76
24378,50,0
24384,45,67
24442,45,0
24448,47,84
24506,47,0
